Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,LO - def,Light Oxidized - DEF,sw38,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,C6,CONTROL 6,sw38,,,,,,1,,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,C7,CONTROL 7,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,MC - def,Milk Carton - DEF,sw38,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,C8,CONTROL 8,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,CK - def,Cooked - DEF,sw38,,,,,3,,,,,,,,,,,,,,6,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,FL - def,Flat - DEF,sw38,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,FE - def,Feed - DEF,sw38,,,,,,2,,,,,,,,,,,,,7,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,R - def,Rancid - DEF,sw38,2,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,LO - def,Light Oxidized - DEF,av354,,,,,,,,,1,,,,,,2,,,,1,Definitely rancid NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,C6,CONTROL 6,av354,,,,,1,,,,,,,,1,,,,,,5,Malty
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,C7,CONTROL 7,av354,,,,,1,,,,,,,,,1,,,,,8,Milk carton odor
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,MC - def,Milk Carton - DEF,av354,,,,,,,,,1,,,,,,1,,,,4,Rancid and fruity
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,C8,CONTROL 8,av354,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,CK - def,Cooked - DEF,av354,,,,,,,,,,,,,,,2,2,,,1,Definitely rancid NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,FL - def,Flat - DEF,av354,,,,,1,,,,,,,,,,1,,,,4,Slight rancid
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,FE - def,Feed - DEF,av354,,,,,,3,,,,,,,,,,,,,9,Smelled and tasted like hay
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,R - def,Rancid - DEF,av354,,,,,,,,,,,,,,,2,1,,,1,Definitely rancid NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,LO - def,Light Oxidized - DEF,ram524,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,C6,CONTROL 6,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,C7,CONTROL 7,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,MC - def,Milk Carton - DEF,ram524,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,C8,CONTROL 8,ram524,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,CK - def,Cooked - DEF,ram524,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,FL - def,Flat - DEF,ram524,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,FE - def,Feed - DEF,ram524,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,R - def,Rancid - DEF,ram524,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,LO - def,Light Oxidized - DEF,jat324,1,,,,,,,,,2,,,,,,,,,6,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,C6,CONTROL 6,jat324,,1,,,,,1,,,,,,,,,,,,7,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,C7,CONTROL 7,jat324,,,,,1,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,MC - def,Milk Carton - DEF,jat324,,,,,3,,2,,,,,,,,,,,,4,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,C8,CONTROL 8,jat324,,,,,,,,,,,,,,1,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,CK - def,Cooked - DEF,jat324,,1,,,,1,,,,2,,,,,,,,,5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,FL - def,Flat - DEF,jat324,,,,,,,1,,,,,,,,,,,,7,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,FE - def,Feed - DEF,jat324,,,2,,,3,,2,,,,,,,,,,,3,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,R - def,Rancid - DEF,jat324,,,,,,,,,1,1,,,,,,,,,7,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,LO - def,Light Oxidized - DEF,ap262,,,2,,,,,,,,,,,,,,,2,4,"Barney, like mushrooms, musty"
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,C6,CONTROL 6,ap262,,1,,0.5,0.5,,,,,,,,,,0.5,,,,4,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,C7,CONTROL 7,ap262,,0.5,,1,,,,,,1,,1,,,,,,,5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,MC - def,Milk Carton - DEF,ap262,,,,0.5,,,,,,,1.5,,,,,,,,6.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,C8,CONTROL 8,ap262,,,,,,,,,,0.5,,,1,0.5,,,,,5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,CK - def,Cooked - DEF,ap262,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,FL - def,Flat - DEF,ap262,,0.9,,,,,,,,0.5,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,FE - def,Feed - DEF,ap262,,,,0.5,,3,,,,,,,,,,,,,5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,R - def,Rancid - DEF,ap262,0.5,1,,,0.5,,,,,,,,1,,,,,,5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,LO - def,Light Oxidized - DEF,eg554,,,,,,,1,,,,,,,,,,,,9,NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,C6,CONTROL 6,eg554,,,,,,,,,,,,,,1,,,,,,NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,C7,CONTROL 7,eg554,,,,,1,,,,,,,,,,,,,,9,NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,MC - def,Milk Carton - DEF,eg554,,,,,1,,,,,,,,,,,,,,9,NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,C8,CONTROL 8,eg554,,,,,,,,,,,,,,1,,,,,9,NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,CK - def,Cooked - DEF,eg554,,,,,,,,,,,,,,,1,,,,4,NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,FL - def,Flat - DEF,eg554,,,,,,,,,,,,,,1,,,,,9,NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,FE - def,Feed - DEF,eg554,,,,,,3,,,,,,,,,,,,,5,NT
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,R - def,Rancid - DEF,eg554,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,LO - def,Light Oxidized - DEF,yy622,,,,,,,,,,,,2,,,,,,,3,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,C6,CONTROL 6,yy622,,,,,,,,,,,,,,,,2,,,1,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,C7,CONTROL 7,yy622,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,MC - def,Milk Carton - DEF,yy622,,,,,,,,2,,,,,,,,,,,3,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,C8,CONTROL 8,yy622,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,CK - def,Cooked - DEF,yy622,,,,,,,,,,,,,,,3,,,,0,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,FL - def,Flat - DEF,yy622,,,,,,,,,,,,,,,,1,,,3,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,FE - def,Feed - DEF,yy622,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,R - def,Rancid - DEF,yy622,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,LO - def,Light Oxidized - DEF,aj425,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,C6,CONTROL 6,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,C7,CONTROL 7,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,MC - def,Milk Carton - DEF,aj425,,,,,,,,,,,,1,,,,,,,5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,C8,CONTROL 8,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,CK - def,Cooked - DEF,aj425,,,,,,,,,,,,,,,2,,,,1,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,FL - def,Flat - DEF,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,FE - def,Feed - DEF,aj425,,,,,,1,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,R - def,Rancid - DEF,aj425,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,LO - def,Light Oxidized - DEF,ab2525,,,,,,,,,,,,,,,,3,,,0,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,C6,CONTROL 6,ab2525,,,,,,1,,,,,,,,,,,,,9,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,C7,CONTROL 7,ab2525,,,,,,,,,,,,,,,,,,,9,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,MC - def,Milk Carton - DEF,ab2525,,,,,,,,,,,,,,,,2,,,1,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,C8,CONTROL 8,ab2525,,,,,,,,,,1,,,,,,,,,8,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,CK - def,Cooked - DEF,ab2525,,,,,,,1,,,,,,,,,,,,9,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,FL - def,Flat - DEF,ab2525,,,,,,,2,,,,,,,,,,,,8,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,FE - def,Feed - DEF,ab2525,,,,,,,,,3,,,,,,,,,,1,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,R - def,Rancid - DEF,ab2525,,,,,,,,,,,,,,,2,,,,1,Nt
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,LO - def,Light Oxidized - DEF,at543,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,C6,CONTROL 6,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,C7,CONTROL 7,at543,,,,,,,,,,,,,,,,,,,2,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,MC - def,Milk Carton - DEF,at543,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,C8,CONTROL 8,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,CK - def,Cooked - DEF,at543,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,FL - def,Flat - DEF,at543,,,,,,,3,,,,,,,,,,,,7,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,FE - def,Feed - DEF,at543,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,R - def,Rancid - DEF,at543,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,LO - def,Light Oxidized - DEF,cjh263,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,C6,CONTROL 6,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,C7,CONTROL 7,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,MC - def,Milk Carton - DEF,cjh263,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,C8,CONTROL 8,cjh263,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,CK - def,Cooked - DEF,cjh263,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,FL - def,Flat - DEF,cjh263,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,FE - def,Feed - DEF,cjh263,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,R - def,Rancid - DEF,cjh263,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,LO - def,Light Oxidized - DEF,nrs13,,,,,,,,,,,2,,,,,,,,7,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,C6,CONTROL 6,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,C7,CONTROL 7,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,MC - def,Milk Carton - DEF,nrs13,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,C8,CONTROL 8,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,CK - def,Cooked - DEF,nrs13,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,FL - def,Flat - DEF,nrs13,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,FE - def,Feed - DEF,nrs13,,,,,,2,,,,,,,,,,,,,9,Feed had very strong lingering taste...almost chemical that lingered on my lips long after
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,R - def,Rancid - DEF,nrs13,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,LO - def,Light Oxidized - DEF,dk657,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,C6,CONTROL 6,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,C7,CONTROL 7,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,MC - def,Milk Carton - DEF,dk657,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,C8,CONTROL 8,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,CK - def,Cooked - DEF,dk657,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,FL - def,Flat - DEF,dk657,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,FE - def,Feed - DEF,dk657,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,R - def,Rancid - DEF,dk657,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,1,LO - def,Light Oxidized - DEF,kg292,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,2,C6,CONTROL 6,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,4,C7,CONTROL 7,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,6,MC - def,Milk Carton - DEF,kg292,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,8,C8,CONTROL 8,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,9,CK - def,Cooked - DEF,kg292,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,7,FL - def,Flat - DEF,kg292,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,5,FE - def,Feed - DEF,kg292,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 041516 Spring 2016,2% WHITE MILK,3,R - def,Rancid - DEF,kg292,,,,,,,,,,,,,,,2,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name,Description,Test Status,Test Owner,Saved for,Test Language,Test Expiry,,,,,,,,,,,,,,,,,,,
Pre-Eval SKIM PM 041516 Spring 2016,New Test,Ready To Run,Nancy Carey,Cornell,English,5/15/2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,SKIM WHITE MILK ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,C1,P607,CONTROL 1,Sample,,,,,,,,,,,,,,,,,,,,,
2,A def,2001,Acid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
3,C2,P608,CONTROL 2,Sample,,,,,,,,,,,,,,,,,,,,,
4,C3,P609,CONTROL 3,Sample,,,,,,,,,,,,,,,,,,,,,
5,B def,2003,Bitter - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
6,C4,P610,CONTROL 4,Sample,,,,,,,,,,,,,,,,,,,,,
7,MC - def,P615,Milk Carton - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
8,C5,P611,CONTROL 5,Sample,,,,,,,,,,,,,,,,,,,,,
9,LO - def,2013,Light Oxidized - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,C1,CONTROL 1,jat324,,,,,,,1,,,,,,,,,,,,7,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,A def,Acid - DEF,jat324,,,,,,,,,3,,,,,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C2,CONTROL 2,jat324,,,,,,,2,,,1,,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,C3,CONTROL 3,jat324,,,,,,,1,,,,,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,B def,Bitter - DEF,jat324,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,C4,CONTROL 4,jat324,,,,,,,1,,,,,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,MC - def,Milk Carton - DEF,jat324,1,,,,,,,,,1,,,,1,,,,,7,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,C5,CONTROL 5,jat324,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,LO - def,Light Oxidized - DEF,jat324,,,,,,,,,,2,,,,,,,,,2,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,C1,CONTROL 1,av354,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,A def,Acid - DEF,av354,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,C2,CONTROL 2,av354,,,,,,,,,,1,,,,,,,,,8,Milk tasted blah
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C3,CONTROL 3,av354,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,B def,Bitter - DEF,av354,,,,1,2,,,,,,,,,,,,,,5,Very bitter
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C4,CONTROL 4,av354,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,MC - def,Milk Carton - DEF,av354,,,,,,,,,,,,,,2,,,,,8,Smelled like cardboard
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C5,CONTROL 5,av354,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,LO - def,Light Oxidized - DEF,av354,,,,,,,,,,,,,,,1,2,,,1,NT. Milk smelled like gym laundry
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,C1,CONTROL 1,ap262,,0.5,,,0.5,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,A def,Acid - DEF,ap262,3,,,,,,,,,,,,,,,,,,0,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,C2,CONTROL 2,ap262,,,,,,,,,,,,,,,,,,,10,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,C3,CONTROL 3,ap262,,,,,,,,,,0.5,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,B def,Bitter - DEF,ap262,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,C4,CONTROL 4,ap262,,,,,,,,,,,,,,,,,,,9,"Earthy, dirt"
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,MC - def,Milk Carton - DEF,ap262,,,,,,,,,,,2.5,,,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,8,C5,CONTROL 5,ap262,,,,,0.5,,,,,,,,,,,,,,9,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,LO - def,Light Oxidized - DEF,ap262,,0.5,0.5,0.5,,,,,,,,,,,,,,1,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,6,C1,CONTROL 1,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,4,A def,Acid - DEF,aj425,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,2,C2,CONTROL 2,aj425,,,,,,,,,,,,1,,,,,,,5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,1,C3,CONTROL 3,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,3,B def,Bitter - DEF,aj425,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,5,C4,CONTROL 4,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,7,MC - def,Milk Carton - DEF,aj425,,,,,,,,,,,2,,,,,,,,6,
Pre-Eval SKIM PM 041516 Spring 2016,SKIM WHITE MILK ,9,C5,CONTROL 5,aj425,,,,,,,,,,,,,,,,,,,9.5,
